LocationID,taxiName,mapName,Borough,xID,longitude,latitude
1,Newark Airport,None,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_West_Side,-74.17446,40.68953
2,Jamaica Bay,Arverne,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Arverne,-73.87131,40.60566
3,Allerton/Pelham Gardens,Allerton,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Allerton,-73.84683,40.8653
4,Alphabet City,Stuyvesant Town,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Stuyvesant_Town,-73.97749,40.72584
5,Arden Heights,Eltingville,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Eltingville,-74.1735,40.55641
6,Arrochar/Fort Wadsworth,Fort Wadsworth,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Fort_Wadsworth,-74.05792,40.60121
7,Astoria,Ditmars Steinway,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Ditmars_Steinway,-73.92346,40.76436
8,Astoria Park,Ditmars Steinway,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Ditmars_Steinway,-73.92283,40.77854
9,Auburndale,Bay Terrace,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace,-81.78869,28.0653
10,Baisley Park,Springfield Gardens,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Springfield_Gardens,-73.78602,40.67378
11,Bath Beach,Bensonhurst,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bensonhurst,-74.00621,40.60389
12,Battery Park,Financial District,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Financial_District,-74.01703,40.70328
13,Battery Park City,Financial District,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Financial_District,-74.01584,40.71158
14,Bay Ridge,Fort Hamilton,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Fort_Hamilton,-74.02988,40.62637
15,Bay Terrace/Fort Totten,Bay Terrace,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace,-73.78199,40.79003
16,Bayside,Bay Terrace,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace,-121.78102,37.67624
17,Bedford,Bedford-Stuyvesant,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bedford_Stuyvesant,-97.14307,32.84402
18,Bedford Park,Fordham,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Fordham,-87.78125,41.76417
19,Bellerose,Little Neck,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Little_Neck,-73.7154,40.72437
20,Belmont,Fordham,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Fordham,-95.26385,37.33839
21,Bensonhurst East,Bensonhurst,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bensonhurst,-73.99218,40.61393
22,Bensonhurst West,Bensonhurst,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bensonhurst,-73.99218,40.61393
23,Bloomfield/Emerson Hill,Bloomfield,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Bloomfield,-83.23125,42.56957
